year,month,port_label,n_stocks
2011,11,HP_MOM_2_5,71
2011,11,HP_MOM_3_1,25
2011,11,HP_MOM_3_2,42
2011,11,HP_MOM_3_3,30
2011,11,HP_MOM_3_4,20
2011,11,HP_MOM_3_5,20
2011,11,HP_Q1,13
2011,11,HP_Q2,108
2011,11,HP_Q3,544
2011,11,HP_Q4,30
2011,11,HP_Q5,84
2011,11,MOM_BASIS_1_1,53
2011,11,MOM_BASIS_1_2,82
2011,11,MOM_BASIS_1_3,17
2011,11,MOM_BASIS_2_1,58
2011,11,MOM_BASIS_2_2,67
2011,11,MOM_BASIS_2_3,28
2011,11,MOM_BASIS_3_1,52
2011,11,MOM_BASIS_3_2,71
2011,11,MOM_BASIS_3_3,30
2011,11,MOM_BASIS_4_1,53
2011,11,MOM_BASIS_4_2,73
2011,11,MOM_BASIS_4_3,27
2011,11,MOM_BASIS_5_1,59
2011,11,MOM_BASIS_5_2,75
2011,11,MOM_BASIS_5_3,19
2011,11,MOM_BM_1_1,39
2011,11,MOM_BM_1_2,37
2011,11,MOM_BM_1_3,23
2011,11,MOM_BM_1_4,22
2011,11,MOM_BM_1_5,31
2011,11,MOM_BM_2_1,26
2011,11,MOM_BM_2_2,30
2011,11,MOM_BM_2_3,37
2011,11,MOM_BM_2_4,35
2011,11,MOM_BM_2_5,25
2011,11,MOM_BM_3_1,20
2011,11,MOM_BM_3_2,28
2011,11,MOM_BM_3_3,35
2011,11,MOM_BM_3_4,35
2011,11,MOM_BM_3_5,35
2011,11,MOM_BM_4_1,25
2011,11,MOM_BM_4_2,27
2011,11,MOM_BM_4_3,25
2011,11,MOM_BM_4_4,40
2011,11,MOM_BM_4_5,36
2011,11,MOM_BM_5_1,42
2011,11,MOM_BM_5_2,31
2011,11,MOM_BM_5_3,33
2011,11,MOM_BM_5_4,21
2011,11,MOM_BM_5_5,26
2011,11,MOM_Q1,76
2011,11,MOM_Q10,77
2011,11,MOM_Q2,76
2011,11,MOM_Q3,77
2011,11,MOM_Q4,76
2011,11,MOM_Q5,77
2011,11,MOM_Q6,76
2011,11,MOM_Q7,76
2011,11,MOM_Q8,77
2011,11,MOM_Q9,76
2011,12,BASIS_Q1,18
2011,12,BASIS_Q2,47
2011,12,BASIS_Q3,251
2011,12,BASIS_Q4,407
2011,12,BASIS_Q5,56
2011,12,BM_BASIS_1_1,37
2011,12,BM_BASIS_1_2,100
2011,12,BM_BASIS_1_3,18
2011,12,BM_BASIS_2_1,70
2011,12,BM_BASIS_2_2,68
2011,12,BM_BASIS_2_3,18
2011,12,BM_BASIS_3_1,68
2011,12,BM_BASIS_3_2,61
2011,12,BM_BASIS_3_3,27
2011,12,BM_BASIS_4_1,75
2011,12,BM_BASIS_4_2,58
2011,12,BM_BASIS_4_3,23
2011,12,BM_BASIS_5_1,61
2011,12,BM_BASIS_5_2,70
2011,12,BM_BASIS_5_3,25
2011,12,BM_HP_1_1,30
2011,12,BM_HP_1_2,110
2011,12,BM_HP_1_3,15
2011,12,BM_HP_2_1,44
2011,12,BM_HP_2_2,80
2011,12,BM_HP_2_3,32
2011,12,BM_HP_3_1,62
2011,12,BM_HP_3_2,61
2011,12,BM_HP_3_3,33
2011,12,BM_HP_4_1,54
2011,12,BM_HP_4_2,60
2011,12,BM_HP_4_3,42
2011,12,BM_HP_5_1,61
2011,12,BM_HP_5_2,71
2011,12,BM_HP_5_3,24
2011,12,BM_Q1,77
2011,12,BM_Q10,78
2011,12,BM_Q2,78
2011,12,BM_Q3,78
2011,12,BM_Q4,78
2011,12,BM_Q5,78
2011,12,BM_Q6,78
2011,12,BM_Q7,78
2011,12,BM_Q8,78
2011,12,BM_Q9,78
2011,12,HP_MOM_1_1,45
2011,12,HP_MOM_1_2,56
2011,12,HP_MOM_1_3,45
2011,12,HP_MOM_1_4,48
2011,12,HP_MOM_1_5,49
2011,12,HP_MOM_2_1,86
2011,12,HP_MOM_2_2,59
2011,12,HP_MOM_2_3,70
2011,12,HP_MOM_2_4,80
2011,12,HP_MOM_2_5,77
2011,12,HP_MOM_3_1,20
2011,12,HP_MOM_3_2,37
2011,12,HP_MOM_3_3,37
2011,12,HP_MOM_3_4,24
2011,12,HP_MOM_3_5,26
2011,12,HP_Q1,227
2011,12,HP_Q2,47
2011,12,HP_Q3,414
2011,12,HP_Q4,11
2011,12,HP_Q5,80
2011,12,MOM_BASIS_1_1,62
2011,12,MOM_BASIS_1_2,72
2011,12,MOM_BASIS_1_3,17
2011,12,MOM_BASIS_2_1,77
2011,12,MOM_BASIS_2_2,53
2011,12,MOM_BASIS_2_3,22
2011,12,MOM_BASIS_3_1,54
2011,12,MOM_BASIS_3_2,68
2011,12,MOM_BASIS_3_3,30
2011,12,MOM_BASIS_4_1,51
2011,12,MOM_BASIS_4_2,79
2011,12,MOM_BASIS_4_3,22
2011,12,MOM_BASIS_5_1,58
2011,12,MOM_BASIS_5_2,75
2011,12,MOM_BASIS_5_3,19
2011,12,MOM_BM_1_1,39
2011,12,MOM_BM_1_2,38
2011,12,MOM_BM_1_3,22
2011,12,MOM_BM_1_4,23
2011,12,MOM_BM_1_5,29
2011,12,MOM_BM_2_1,28
2011,12,MOM_BM_2_2,31
2011,12,MOM_BM_2_3,40
2011,12,MOM_BM_2_4,32
2011,12,MOM_BM_2_5,21
2011,12,MOM_BM_3_1,24
2011,12,MOM_BM_3_2,35
2011,12,MOM_BM_3_3,34
2011,12,MOM_BM_3_4,32
2011,12,MOM_BM_3_5,27
2011,12,MOM_BM_4_1,18
2011,12,MOM_BM_4_2,22
2011,12,MOM_BM_4_3,27
2011,12,MOM_BM_4_4,39
2011,12,MOM_BM_4_5,46
2011,12,MOM_BM_5_1,42
2011,12,MOM_BM_5_2,26
2011,12,MOM_BM_5_3,29
2011,12,MOM_BM_5_4,26
2011,12,MOM_BM_5_5,29
2011,12,MOM_Q1,75
2011,12,MOM_Q10,76
2011,12,MOM_Q2,76
2011,12,MOM_Q3,76
2011,12,MOM_Q4,76
2011,12,MOM_Q5,76
2011,12,MOM_Q6,76
2011,12,MOM_Q7,76
2011,12,MOM_Q8,76
2011,12,MOM_Q9,76
2012,1,BASIS_Q1,89
2012,1,BASIS_Q2,192
2012,1,BASIS_Q3,84
2012,1,BASIS_Q4,9
2012,1,BASIS_Q5,405
2012,1,BM_BASIS_1_1,36
2012,1,BM_BASIS_1_2,12
2012,1,BM_BASIS_1_3,107
2012,1,BM_BASIS_2_1,62
2012,1,BM_BASIS_2_2,21
2012,1,BM_BASIS_2_3,73
2012,1,BM_BASIS_3_1,61
2012,1,BM_BASIS_3_2,20
2012,1,BM_BASIS_3_3,75
2012,1,BM_BASIS_4_1,66
2012,1,BM_BASIS_4_2,25
2012,1,BM_BASIS_4_3,65
2012,1,BM_BASIS_5_1,56
2012,1,BM_BASIS_5_2,15
2012,1,BM_BASIS_5_3,85
2012,1,BM_HP_1_1,30
2012,1,BM_HP_1_2,100
2012,1,BM_HP_1_3,25
2012,1,BM_HP_2_1,39
2012,1,BM_HP_2_2,68
2012,1,BM_HP_2_3,49
2012,1,BM_HP_3_1,57
2012,1,BM_HP_3_2,58
2012,1,BM_HP_3_3,41
2012,1,BM_HP_4_1,48
2012,1,BM_HP_4_2,57
2012,1,BM_HP_4_3,51
2012,1,BM_HP_5_1,56
2012,1,BM_HP_5_2,69
2012,1,BM_HP_5_3,31
2012,1,BM_Q1,77
2012,1,BM_Q10,78
2012,1,BM_Q2,78
2012,1,BM_Q3,78
2012,1,BM_Q4,78
2012,1,BM_Q5,78
2012,1,BM_Q6,78
2012,1,BM_Q7,78
2012,1,BM_Q8,78
2012,1,BM_Q9,78
2012,1,HP_MOM_1_1,39
2012,1,HP_MOM_1_2,52
2012,1,HP_MOM_1_3,47
2012,1,HP_MOM_1_4,44
2012,1,HP_MOM_1_5,38
2012,1,HP_MOM_2_1,66
2012,1,HP_MOM_2_2,53
2012,1,HP_MOM_2_3,60
2012,1,HP_MOM_2_4,73
2012,1,HP_MOM_2_5,88
2012,1,HP_MOM_3_1,46
2012,1,HP_MOM_3_2,46
2012,1,HP_MOM_3_3,44
2012,1,HP_MOM_3_4,34
2012,1,HP_MOM_3_5,25
2012,1,HP_Q1,227
2012,1,HP_Q2,355
2012,1,HP_Q3,137
2012,1,HP_Q4,13
2012,1,HP_Q5,47
2012,1,MOM_BASIS_1_1,66
2012,1,MOM_BASIS_1_2,12
2012,1,MOM_BASIS_1_3,73
2012,1,MOM_BASIS_2_1,65
2012,1,MOM_BASIS_2_2,21
2012,1,MOM_BASIS_2_3,65
2012,1,MOM_BASIS_3_1,59
2012,1,MOM_BASIS_3_2,16
