date,xi_bear_p1,xi_bull_p1,xi_bear_p2,xi_bull_p2,bear_p1,bear_p2,bear_mst,adbear
2010-10,0.9999936380888296,6.361911170524199e-06,3.074086760360568e-17,1.0,1,0,0,-1.621399476
2010-11,0.9998506273937182,0.0001493726062817561,5.049083322036207e-07,0.9999994950916677,1,0,0,-1.229874157
2010-12,1.0,4.766766041724026e-19,0.0003901161340339499,0.9996098838659659,1,0,0,-0.557445911
2011-01,0.999999999988326,1.167397399007575e-11,7.6339042802037e-15,0.9999999999999923,1,0,0,-1.410342818
2011-02,0.9999999999932329,6.7671275029817315e-12,1.0720209632130833e-10,0.9999999998927979,1,0,0,-1.2105133
2011-03,0.9999998784254527,1.2157454721790367e-07,2.906141989692232e-16,0.9999999999999997,1,0,0,-0.217719211
2011-04,0.9999999999990461,9.538690393602207e-13,5.853104622636812e-15,0.9999999999999941,1,0,0,-0.81867213
2011-05,0.9999999999999971,2.859618274028294e-15,1.2547802676969756e-07,0.9999998745219733,1,0,0,-0.6052787
2011-06,0.9999999999804607,1.9539216108791868e-11,1.0492510432899545e-21,1.0,1,0,1,1.142242148
2011-07,2.2162696542982466e-12,0.9999999999977838,1.0655347637962672e-10,0.9999999998934465,0,0,0,-1.010653909
2011-08,4.547929423307179e-48,1.0,1.0,3.402505245190018e-24,0,1,1,2.7624162
2011-09,3.370951948846388e-60,1.0,1.0,3.8063663239826796e-29,0,1,1,0.943206783
2011-10,1.5921640103964317e-86,1.0,1.0,1.7445805044507725e-45,0,1,1,0.416669095
2011-11,3.4808585720473137e-46,1.0,2.5538751110229906e-05,0.9999744612488898,0,0,0,-1.155176333
2011-12,1.6910317046557307e-10,0.9999999998308968,1.2490912014908972e-07,0.9999998750908798,0,0,0,-0.239740833
2012-01,1.732647738854835e-72,1.0,1.0,1.3119438522927932e-37,0,1,0,-1.170163333
2012-02,2.126494506973481e-22,1.0,7.16628663603126e-06,0.999992833713364,0,0,0,-1.65237425
2012-03,0.002067557094882015,0.997932442905118,3.206241307421425e-12,0.9999999999967937,0,0,0,-1.05174729
2012-04,2.3869549351602613e-13,0.9999999999997614,1.6667419246886608e-10,0.9999999998333258,0,0,0,-1.000631073
2012-05,4.245442406184602e-34,1.0,0.9999999951372082,4.8627918490742055e-09,0,1,1,0.18655856
2012-06,4.89784797695658e-36,1.0,0.9999999999999235,7.644323771121365e-14,0,1,1,1.073738948
2012-07,0.999999999999967,3.2925670301778526e-14,8.040331499153903e-08,0.9999999195966851,1,0,0,-1.194585286
2012-08,0.9927514720955277,0.007248527904472278,2.16501324337715e-12,0.999999999997835,1,0,0,-0.830056762
2012-09,0.9999999999875042,1.2495804165752188e-11,2.2412759194777944e-20,1.0,1,0,0,-0.987983883
2012-10,0.0018906223397411371,0.9981093776602589,7.734769845872451e-17,0.9999999999999999,0,0,0,-0.925795368
2012-11,1.029491034128117e-12,0.9999999999989705,7.558082005165685e-09,0.999999992441918,0,0,1,0.590357933
2012-12,0.9999996475604277,3.5243957233848017e-07,1.1675398664139844e-19,1.0,1,0,0,-0.382134895
2013-01,0.9999999999730479,2.6952054304054295e-11,1.8524957976036904e-21,1.0,1,0,0,-1.01245183
2013-02,0.9999999999701459,2.985415809866272e-11,7.906181832079351e-21,1.0,1,0,0,-1.631056
2013-03,0.9999999999976154,2.3846303695665324e-12,1.0387878573101638e-22,1.0,1,0,0,-0.565266579
2013-04,9.489893544755933e-31,1.0,0.9999955162216968,4.483778303196869e-06,0,1,0,-0.721234
2013-05,1.3532961447657875e-37,1.0,0.999999999969795,3.0204994649333986e-11,0,1,0,-0.880968455
2013-06,7.916729815807168e-32,1.0,3.4893623219031315e-10,0.9999999996510637,0,0,0,-0.123650709
2013-07,4.718262107084883e-14,0.9999999999999528,2.2676494533157576e-14,0.9999999999999774,0,0,0,-0.1458965
2013-08,0.999999999982047,1.7953025689431794e-11,1.752289807027947e-15,0.9999999999999982,1,0,0,-1.801163364
2013-09,0.9999999989098325,1.0901675204203305e-09,1.2799805478261064e-19,1.0,1,0,1,0.428039045
2013-10,0.9999999999922347,7.765324005319206e-12,2.765842756774572e-20,1.0,1,0,0,-0.69533808
2013-11,2.121386850653491e-14,0.9999999999999787,6.869477487950403e-11,0.9999999999313052,0,0,0,-1.56781313
2013-12,0.9999999995767278,4.2327227827222e-10,1.8083043674909893e-16,0.9999999999999998,1,0,0,-0.8535167
2014-01,0.9999999999731607,2.6839343647125953e-11,6.625045239283079e-15,0.9999999999999934,1,0,0,-1.053139567
2014-02,3.1163339217797056e-13,0.9999999999996885,1.8942350785186258e-12,0.9999999999981058,0,0,1,1.779849324
2014-03,0.9999999999994296,5.704371883971815e-13,4.907025474574761e-10,0.9999999995092975,1,0,0,-1.804045316
2014-04,0.9999999998303121,1.6968796856957269e-10,5.86355820776237e-13,0.9999999999994137,1,0,0,-0.504887629
2014-05,0.9999999999774323,2.256774433228999e-11,5.590197918035314e-19,1.0,1,0,0,-0.57374619
2014-06,0.9999999966591107,3.34088930403622e-09,1.6086949757186045e-16,0.9999999999999999,1,0,0,-1.476759905
2014-07,0.999999999738831,2.611689372835977e-10,4.832828560894602e-16,0.9999999999999996,1,0,0,-1.347574462
2014-08,0.9999999999648526,3.5147510337137776e-11,1.2106476018324623e-15,0.9999999999999988,1,0,1,1.468407364
2014-09,0.9999999999999879,1.2128250739943725e-14,3.003407948158019e-09,0.999999996996592,1,0,0,-1.72034381
2014-10,0.9999999999991385,8.615782579850432e-13,0.0005805689309388756,0.9994194310690612,1,0,1,0.59837949
2014-11,0.9999999999999684,3.157110108438744e-14,1.0686635396361775e-17,1.0,1,0,0,-0.532965404
2014-12,1.0,2.893206844923031e-22,2.7685389594502173e-09,0.9999999972314609,1,0,0,-1.204171789
2015-01,0.9999999999164666,8.35334255647036e-11,2.3243705211536868e-08,0.9999999767562948,1,0,1,1.859633452
2015-02,1.0,9.071452196385062e-38,1.0,2.1412813770752468e-19,1,1,0,-0.20314385
2015-03,0.9999999999990412,9.587000044298815e-13,1.940338522275563e-16,0.9999999999999998,1,0,0,-1.091320637
2015-04,0.9999999996735736,3.264263989915067e-10,1.5166447367571244e-16,0.9999999999999999,1,0,1,0.128371636
2015-05,0.9999999999999999,9.299008980513478e-17,4.407951143888397e-18,1.0,1,0,0,-0.71933091
2015-06,0.9999999999999934,6.556713355928387e-15,8.388643830046268e-20,1.0,1,0,0,-0.4652108
2015-07,1.0,7.004413707993014e-63,2.9182424189654794e-15,0.9999999999999971,1,0,1,0.501780705
2015-08,1.0,1.8061619533405615e-35,5.629157120033106e-12,0.999999999994371,1,0,0,-0.310995364
