date,xi_bear_p1,xi_bear_p2,xi_bear_p3,xi_bear_p4,bear_mst
2013-12,1.8849348521377468e-06,5.045125890172552e-06,0.26354102904951404,0.08637677681595546,0
2014-01,1.1285981634175644e-05,0.00015863159351797438,0.007587244480504216,0.9606910571766131,1
2014-02,2.242081399275264e-08,4.740757538380207e-06,2.031195997396774e-05,0.9989400519600404,0
2014-03,0.0004718011561165838,0.0004330045826428575,0.9969333180890589,0.9996069056476978,0
2014-04,2.9488032928969542e-06,6.273960662808282e-07,0.013053504524749503,0.05022344188774058,0
2014-05,1.7995440790403768e-06,1.3769856098147168e-06,0.0402857732013165,0.910184014747127,0
2014-06,4.0109093328448896e-08,8.976879728478963e-06,0.011606430720347621,0.8871055031478169,0
2014-07,2.8682502316688966e-07,0.9996209478512492,0.9994660305048135,0.9999999783660197,1
2014-08,0.00020717398710739816,0.0004038738962680992,0.0025132746348462704,0.9956185294881564,0
2014-09,4.4985158449944106e-08,7.679620706726417e-07,0.8335460522731711,0.7032252609095432,1
2014-10,0.0007312875492264787,2.005971017357813e-05,2.942622712194804e-05,0.9833598637064719,0
2014-11,0.05656005715264183,0.003437091111333738,3.719423694076256e-05,0.01818868532892735,0
2014-12,1.0,1.0,0.9999999999957223,0.9999999999999942,1
2015-01,0.9999997682481406,0.9999999686767678,0.9999814861015135,0.996709497468294,0
2015-02,0.9999999778748299,0.9999999999943645,4.3657116489936636e-09,5.074804102061664e-21,0
2015-03,0.9997920602533328,0.9997658061991631,0.00022228702313485647,0.0030049852099283576,1
2015-04,0.9999951563643503,0.9996716393684576,0.0002771343101557632,0.9999440044105433,0
2015-05,4.0839444910219777e-05,0.000304019451617227,0.8629982503601353,0.5042727188904107,0
2015-06,0.000328127370151781,3.1816489853631374e-05,0.23730849191276443,0.0035352592395144454,1
2015-07,0.003793906801679982,1.4565984998003897e-05,0.0003619753706667559,0.22294763307955207,0
2015-08,1.0,1.0,0.9999999975236669,0.9999994586346351,1
